agegroup,bin1,bin2,bin3,bin4,bin5
YA,165409,168492,164524.2,160871.2,168657.6
YA,204217,189048.4,202184,198217.5,231083.7
YA,266870,301005.3,300590,237334.7,273391.1
YA,215111.5,255385.6,279996.4,255491.3,297371.9
YA,189133.6,189969,191319.3,186358.8,178147
YA,263922.4,269194.7,272055.8,307657.9,272053.5
YA,226283.1,225651.6,242316.9,237996.9,267804.6
YA,229449.5,243182.2,240114.9,219667.9,225693.9
YA,205883,215627.4,226427.5,211764.4,223599.9
YA,193924.1,218020.4,221750,219131.5,231801.8
YA,232287.6,204783.1,202320.8,219190.3,206074.9
YA,210156.5,211904,196196.6,206233.6,209967.2
YA,180091.6,243938.4,228710,227169,236004.4
YA,271079.6,243753,257454.3,242644.8,255230.4
YA,200363.6,223804.9,230624.2,217534,217414.3
YA,191746.3,234566,233322.9,206903,231632.7
YA,216555.7,216359.7,205590.1,204621.6,196491.6
YA,206729.5,222108.7,230905,220355.2,207529.6
YA,198056.5,190518.1,199153.4,208688.8,207954.8
YA,215185.4,220811.7,214301.1,223155.4,225423.2
YA,231996.5,227432.3,229787.4,225984.1,233327.4
YA,180273.3,176821.2,191041.6,191003.5,189687.8
YA,220047.8,186114.7,200758.9,236108.2,233095.3
YA,186228.5,185643.5,190535.3,187471.5,196328
YA,203747.6,218916.8,230956.2,212935,223768
YA,202835.5,196294.6,190586.6,187886.2,206891.2
YA,202565.8,237085,245869.8,229446.3,261587.4
YA,203220.4,207581.7,210426.4,223931.7,268112.7
YA,206832.8,204043.1,211900,196406.1,209943.4
YA,286237.2,347279.3,359661,274535.4,296945.9
YA,231277.7,209752.2,224333.8,214277.3,238567.7
YA,211310.5,218090.7,221041.8,273817,209285.5
YA,227548.9,263546.6,227188.5,218463.8,232190.6
YA,236247.3,251067.2,265170.8,238048.8,241343.8
YA,249366,272802.9,242528.8,241721.7,266013.4
YA,240668.3,250562.7,260282.2,244466.5,254196.4
YA,219800.1,209916.2,210811.5,229027.4,224081.1
YA,192641.7,202259.6,212054.6,221585.2,205196.4
YA,178826.7,230732.2,210838,251446.3,257253
YA,210738.4,232472.9,208111.2,214696.5,227360
YA,263444.8,264812.2,232766.1,225920.5,280227.8
YA,237920.1,231643.1,253846.4,262705.8,305712.5
YA,197803.5,216850.4,227573.8,216023.9,241710.5
YA,253059.9,218543.1,225196.4,246669.4,229205.1
YA,223921.2,225804.9,213702.8,232347.2,234226.8
OA,203197.5,234174.6,220647,210405,225325
OA,162989.2,176502.6,169199.5,168003.9,170382.5
OA,163609.1,163204.4,187492.9,182216.6,158989
OA,192103.5,188559.3,183742.6,222782.6,196747.8
OA,158804.1,149654.5,147381.3,143607.7,164010.7
OA,160031.5,158803,161540.7,159959.1,181346.2
OA,191618.7,165502.2,166210.8,181149.2,185520.2
OA,191818.3,180581,178237.2,173425.7,164888.9
OA,157802,167701.4,154683.1,154351.1,160330.9
OA,164221.5,161567.4,168146.9,156733.3,166832.8
OA,226501.1,233776.2,200395.5,187497.7,196782.5
OA,147866.4,152936.8,175950.9,162286.3,173375.6
OA,182259.7,183404.4,173853.8,183793.3,159205.2
OA,216099.4,207137.2,208283.4,204896.9,200851.4
OA,160898.7,147947.2,157601.1,152776.6,152564
OA,194492,168294.5,170045.9,168250.5,174969.6
OA,175577.5,190392.7,181439.4,172982.7,173581.8
OA,168932.3,170621.3,169463,175178.5,169512.6
OA,153866.5,172446.1,168806.3,170839.3,178361.2
OA,199999.7,196323.6,224321.2,205747.1,203924.8
OA,168091.9,165782.9,172668.8,176352.7,177635.4
OA,172384,187507.5,181454.4,176508.7,172815.6
OA,167976.2,194661.9,175518.1,174575.7,167220.2
OA,149998.9,166349.9,159351.2,154970.6,162248.8
OA,178787.8,209916.3,190948.5,198848.1,198129.2
OA,161601.7,168162.8,162275.7,159177.8,174881.4
OA,180985.2,194560.5,168365.6,171073.9,167425.8
OA,162067.8,161842.8,165804.4,178776.3,170024.4
OA,176767.8,170030.2,166882.9,177074.7,167670
OA,177189.6,157554.7,168945.1,147956,161264
OA,190070,202161.2,200060.4,200100.3,217070.2
OA,162205,163629,168316.5,158572.3,175393.1
OA,137575,148692.7,146351,140827.4,145635
OA,147724.8,147813.8,147600.7,158110.8,150887.2
OA,172080.9,154018,166907.4,179743.7,178668.1
OA,152379.5,161466.9,146717.7,165522.2,160271.6
OA,198014.5,203403.4,218728.7,223206.8,236428.5
OA,174757.9,173954.2,182698.9,176578.8,180549.7
OA,184567.7,205609.4,225991.3,199503,205438.5
OA,172323.7,177041.7,161911.6,168838.6,183209.8
OA,167339.7,173075.9,166952.3,186358.8,182518.3
OA,160408.2,165423.3,152912.7,154734.3,187718
OA,178356.4,205820,236182.2,224602.2,212274.6
